Havaintoasema,Vuosi,Kuukausi,Päivä,Aika [Paikallinen aika],Ilman lämpötila keskiarvo [°C],Suhteellinen kosteus keskiarvo [%],Sademäärä keskiarvo [mm],Lumensyvyys keskiarvo [cm],Keskituulen nopeus keskiarvo [m/s]
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,07:00,16,97.3,0,-1,2.7
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,08:00,17.2,91.1,0,-1,3.6
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,09:00,18.3,83.7,0,-1,5.1
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,10:00,19.5,73.2,0,-1,4.4
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,11:00,20.5,67.6,0,-1,4.3
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,12:00,21.4,63.5,0,-1,4.8
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,13:00,22.1,59.7,0,-1,5.5
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,14:00,22.6,58,0,-1,5.8
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,15:00,23,57.6,0,-1,5.8
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,16:00,23.4,56.1,0,-1,5.7
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,17:00,23.7,56,0,-1,5.6
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,18:00,23.5,58.7,0,-1,4.7
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,19:00,23.2,59.3,0,-1,4.7
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,20:00,22,65.1,0,-1,4.4
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,21:00,20.4,74.9,0,-1,3.4
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,22:00,19.5,81.4,0,-1,3.9
Vantaa Helsinki-Vantaan lentoasema,2019,8,29,23:00,19.4,81.4,0,-1,3.9
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,00:00,18.9,84,0,-1,3.4
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,01:00,19.1,80,0,-1,3.7
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,02:00,19.1,80.5,0,-1,3.8
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,03:00,18.9,84,0,-1,2.9
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,04:00,19,83.9,0,-1,2.8
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,05:00,18.9,85.6,0,-1,3.1
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,06:00,18,97.8,0.27,-1,3.2
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,07:00,17.5,100,0.33,-1,3.4
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,08:00,17.6,100,0.05,-1,3
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,09:00,18,100,0,-1,3.3
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,10:00,18.2,100,0,-1,2.9
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,11:00,19,100,0,-1,2.3
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,12:00,19.5,99.9,0,-1,3.2
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,13:00,20,97.2,0,-1,3.2
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,14:00,20.4,94,0,-1,3.4
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,15:00,21.1,90.7,0,-1,3.5
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,16:00,21.2,89,0,-1,3.4
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,17:00,22.2,82.3,0,-1,3.1
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,18:00,22.2,79.5,0,-1,4.1
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,19:00,20.9,85,0,-1,4.2
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,20:00,19.6,86.6,0,-1,4.3
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,21:00,18.2,93.5,0,-1,3.9
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,22:00,17,96.9,0,-1,3.7
Vantaa Helsinki-Vantaan lentoasema,2019,8,30,23:00,16.6,97.4,0,-1,3.8
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,00:00,15.6,99.8,0,-1,2.7
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,01:00,14.6,100,0,-1,2.6
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,02:00,14.1,100,0,-1,2.6
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,03:00,14.2,100,0,-1,1.9
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,04:00,13.8,100,0,-1,2
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,05:00,13.3,100,0,-1,2.1
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,06:00,12.7,100,0,-1,2.1
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,07:00,12.4,100,0,-1,2.1
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,08:00,13.4,100,0,-1,1.9
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,09:00,15.8,98.5,0,-1,2.3
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,10:00,17.5,89.5,0,-1,4
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,11:00,18.3,80,0,-1,3.4
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,12:00,19.4,67.7,0,-1,3.9
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,13:00,20.5,59.3,0,-1,4.4
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,14:00,21.4,55.8,0,-1,4.6
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,15:00,21.3,62.6,0,-1,4.6
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,16:00,21.5,60.3,0,-1,5.3
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,17:00,21.5,57.6,0,-1,5.4
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,18:00,21.2,59.7,0,-1,5.2
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,19:00,20.9,61.1,0,-1,4.8
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,20:00,18.9,65.8,0,-1,3.9
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,21:00,17.2,76.1,0,-1,4
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,22:00,15.9,86.5,0,-1,3.9
Vantaa Helsinki-Vantaan lentoasema,2019,8,31,23:00,14.9,94.7,0,-1,2.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,00:00,14.2,98.5,0,-1,2.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,01:00,13.9,100,0,-1,1.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,02:00,13.9,100,0,-1,1.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,03:00,14.2,100,0,-1,1.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,04:00,13.8,100,0,-1,1.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,05:00,14.3,100,0,-1,1.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,06:00,14.4,100,0,-1,1.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,07:00,13.5,100,0,-1,1.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,08:00,14.5,100,0,-1,1.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,09:00,16.3,100,0,-1,1.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,10:00,17.9,93.4,0,-1,2.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,11:00,19.7,71.6,0,-1,3.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,12:00,20.7,66.4,0,-1,3.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,13:00,21.4,56,0,-1,4.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,14:00,22.3,49,0,-1,4.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,15:00,22.4,49.3,0,-1,4.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,16:00,22.4,49.3,0,-1,5
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,17:00,22.2,49,0,-1,4.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,18:00,21.9,52.1,0,-1,4.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,19:00,21,55.9,0,-1,4.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,20:00,19.6,64.8,0,-1,4.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,21:00,18.2,74.4,0,-1,3.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,22:00,17.1,81.9,0,-1,3.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,1,23:00,16.5,89.4,0,-1,3
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,00:00,15.6,97.7,0,-1,2.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,01:00,15.1,99.9,0,-1,2.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,02:00,14.3,100,0,-1,2.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,03:00,16.5,95.8,0,-1,3.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,04:00,16.7,93.2,0,-1,3.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,05:00,15.4,97.4,0,-1,2.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,06:00,16,98.3,0,-1,3.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,07:00,15.9,100,0,-1,3.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,08:00,16.7,99.1,0,-1,4.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,09:00,17.7,95.5,0,-1,6.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,10:00,18.6,89,0,-1,6
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,11:00,19.5,83.4,0,-1,5.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,12:00,20.5,73.7,0,-1,5.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,13:00,21.4,68.3,0,-1,6.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,14:00,22.1,64.1,0,-1,6.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,15:00,22.7,61.7,0,-1,7.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,16:00,22.8,60.7,0,-1,6.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,17:00,22,65.3,0,-1,5.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,18:00,20.9,74,0,-1,4.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,19:00,19.1,94.9,0.3,-1,3.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,20:00,18,100,0.55,-1,3.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,21:00,15.5,99.9,0.42,-1,7.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,22:00,13.9,99.8,0.15,-1,5.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,2,23:00,13.5,99.9,0,-1,3.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,00:00,13.1,100,0.02,-1,2.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,01:00,12.6,100,0,-1,3
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,02:00,12.1,100,0,-1,2.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,03:00,11.4,100,0,-1,1.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,04:00,11.5,100,0,-1,1.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,05:00,11,100,0,-1,0.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,06:00,11.3,100,0,-1,1.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,07:00,11.8,100,0,-1,2
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,08:00,12.2,100,0,-1,1.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,09:00,13.5,99.8,0,-1,2.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,10:00,15,89.7,0,-1,2.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,11:00,15.8,80.7,0,-1,3.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,12:00,15.9,76,0,-1,4.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,13:00,16.9,66.7,0,-1,4.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,14:00,17.5,58.6,0,-1,4.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,15:00,18.3,56.3,0,-1,3
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,16:00,17.8,62.9,0,-1,3.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,17:00,17.9,60.2,0,-1,3.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,18:00,17.6,55.9,0,-1,5.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,19:00,17.3,57.8,0,-1,5
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,20:00,16.3,64,0,-1,5.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,21:00,14.6,72,0,-1,4
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,22:00,13.2,79.1,0,-1,3.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,3,23:00,12,86.1,0,-1,3.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,00:00,11.5,88.5,0,-1,2.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,01:00,11.3,87.5,0,-1,1.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,02:00,9.4,99.2,0,-1,1.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,03:00,9,99.7,0,-1,2.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,04:00,9.1,99.8,0,-1,2.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,05:00,12.2,89.6,0,-1,3.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,06:00,13.6,83.6,0,-1,4.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,07:00,14.4,78.1,0,-1,4.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,08:00,14.9,82.6,0,-1,4.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,09:00,15.1,88.1,0,-1,5
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,10:00,15.6,90.1,0,-1,5.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,11:00,16.1,89.7,0,-1,5.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,12:00,17.2,81.2,0,-1,5.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,13:00,16.9,91,0.05,-1,5.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,14:00,17.7,81.6,0,-1,7.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,15:00,18,80.8,0,-1,7.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,16:00,19,73.4,0,-1,6.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,17:00,19.3,62.9,0,-1,5.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,18:00,19.1,60,0,-1,5.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,19:00,17.7,64.1,0,-1,6.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,20:00,16.4,75.3,0,-1,4.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,21:00,15.6,81.1,0,-1,3.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,22:00,14.3,92.4,0,-1,3.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,4,23:00,13.1,99.7,0,-1,3.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,00:00,12.5,100,0,-1,3.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,01:00,11.9,100,0,-1,3.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,02:00,11.9,100,0,-1,2.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,03:00,11.9,99.9,0,-1,0.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,04:00,10.6,100,0,-1,1.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,05:00,10.2,100,0,-1,1.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,06:00,13,99.1,0,-1,3.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,07:00,13.7,99.6,0,-1,4.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,08:00,14.6,96.1,0,-1,5
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,09:00,15.2,88.6,0,-1,6.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,10:00,15.4,88.8,0,-1,6.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,11:00,16,90.7,0,-1,5.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,12:00,16.4,89.5,0,-1,6.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,13:00,17.3,85.6,0,-1,7.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,14:00,18.8,74.9,0,-1,8.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,15:00,19,73.4,0,-1,7.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,16:00,19.7,68.2,0,-1,7.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,17:00,18.5,78.5,0.02,-1,7.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,18:00,16.7,97.6,0.2,-1,7.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,19:00,16.6,96.8,0,-1,6.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,20:00,16.9,93.9,0,-1,6.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,21:00,16.7,94.3,0.02,-1,7.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,22:00,16.1,98.2,0,-1,6.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,5,23:00,16.2,98.6,0,-1,6.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,00:00,16,99.1,0,-1,5.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,01:00,15.8,100,0,-1,5.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,02:00,15.1,100,0,-1,5.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,03:00,15,99.9,0,-1,5.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,04:00,14.7,100,0,-1,5.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,05:00,14.8,100,0,-1,6.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,06:00,15,100,0,-1,6.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,07:00,14.4,92.1,0,-1,4.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,08:00,13.3,99.1,0.42,-1,4.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,09:00,13.2,100,0.28,-1,4.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,10:00,14.1,99.8,0,-1,3.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,11:00,14.9,96.4,0,-1,4.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,12:00,15.8,85.9,0,-1,5.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,13:00,15.3,85.3,0,-1,5.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,14:00,16.5,70.6,0,-1,6.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,15:00,16,70.2,0,-1,7
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,16:00,16.6,67.2,0,-1,5.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,17:00,16.9,60.2,0,-1,6.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,18:00,15.5,71.5,0,-1,6.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,19:00,15.7,67.2,0,-1,4.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,20:00,14.4,70,0,-1,4
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,21:00,12.7,81.8,0,-1,3.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,22:00,11.3,92.3,0,-1,3.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,6,23:00,10.5,97,0,-1,2.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,00:00,10.3,97.5,0,-1,2.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,01:00,10,99.7,0,-1,3
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,02:00,9.1,100,0,-1,1.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,03:00,8.3,100,0,-1,1.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,04:00,7.3,100,0,-1,1.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,05:00,7.1,100,0,-1,2
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,06:00,7.2,100,0,-1,2.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,07:00,8.4,100,0,-1,2.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,08:00,9.7,100,0,-1,2.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,09:00,12.5,97.7,0,-1,2.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,10:00,14.6,90.6,0,-1,3.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,11:00,15.5,84,0,-1,4.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,12:00,16,74.2,0,-1,5.2
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,13:00,16.5,65.8,0,-1,6.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,14:00,17.5,61.6,0,-1,5.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,15:00,17.4,64.1,0,-1,5.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,16:00,16.5,72.7,0.1,-1,5.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,17:00,15.1,88.3,0.05,-1,4.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,18:00,14.9,95.2,0,-1,3.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,19:00,14.7,98.5,0.02,-1,3.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,20:00,14.5,100,0,-1,3.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,21:00,14.3,99.9,0,-1,3.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,22:00,13.9,100,0,-1,2.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,7,23:00,13.4,100,0,-1,3.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,00:00,12.6,100,0,-1,3.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,01:00,11.6,100,0,-1,2.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,02:00,11.7,100,0,-1,2
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,03:00,11.9,100,0,-1,2.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,04:00,11.5,100,0,-1,2.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,05:00,12.1,100,0,-1,2.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,06:00,12.7,100,0,-1,2.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,07:00,13,100,0,-1,2.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,08:00,12.6,100,0,-1,2.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,09:00,13.7,100,0,-1,2.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,10:00,15.3,96.1,0,-1,2.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,11:00,16,92.1,0,-1,2.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,12:00,16,86,0,-1,2.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,13:00,15.9,87.5,0,-1,2.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,14:00,16.4,82.9,0,-1,2.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,15:00,16.6,78.7,0,-1,3.8
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,16:00,16.1,84,0,-1,3.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,17:00,15.5,91.6,0.02,-1,3.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,18:00,15,95.8,0.13,-1,4.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,19:00,14.5,97,0.02,-1,4.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,20:00,13.9,94.2,0,-1,5.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,21:00,13.8,94.5,0,-1,5.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,22:00,13.9,94.2,0,-1,5.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,8,23:00,14,94.4,0,-1,6
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,00:00,14,96.2,0,-1,5.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,01:00,14,97.5,0,-1,4.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,02:00,13.8,99.4,0,-1,4.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,03:00,13.9,99.9,0,-1,4.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,04:00,14.1,100,0,-1,4.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,05:00,14.2,100,0,-1,4.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,06:00,14.9,100,0,-1,5.3
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,07:00,14.8,100,0,-1,3.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,08:00,15,100,0,-1,3.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,09:00,15.7,100,0,-1,4.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,10:00,16.2,100,0,-1,5.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,11:00,16.5,100,0,-1,6.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,12:00,16.7,100,0.02,-1,4.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,13:00,16.2,100,1.37,-1,2.9
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,14:00,16.7,100,0.28,-1,2.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,15:00,17.5,98.8,0,-1,2.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,16:00,17.8,94.2,0,-1,3.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,17:00,17.8,93.5,0,-1,3.1
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,18:00,18.2,92.6,0,-1,2.7
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,19:00,17.9,95.1,0,-1,2.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,20:00,17,99.2,0,-1,2.5
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,21:00,15.6,100,0,-1,2.4
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,22:00,14.7,100,0,-1,2.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,9,23:00,14.8,100,0,-1,3.6
Vantaa Helsinki-Vantaan lentoasema,2019,9,10,00:00,14.9,100,0,-1,3.5
